cars_name,car_price,purchase_date,brand_name
BMW 3 Series,21000,12/18/2024,Nissan
Mercedes C-Class,35000,12/12/2024,Toyota
Hyundai Elantra,42000,10/31/2024,Ford
Hyundai Elantra,25000,12/13/2024,Audi
Honda Civic,21000,4/2/2024,Nissan
Toyota Camry,42000,4/3/2024,Tesla
Hyundai Elantra,22000,3/3/2024,Nissan
BMW 3 Series,47000,5/2/2024,Chevrolet
BMW 3 Series,24000,9/18/2024,Toyota
BMW 3 Series,38000,2/5/2024,BMW
Chevrolet Silverado,45000,7/31/2024,Hyundai
Honda Civic,35000,12/20/2024,Tesla
Nissan Altima,42000,2/8/2024,BMW
Ford F-150,50000,8/7/2024,Ford
Audi A4,21000,7/4/2024,Audi
Audi A4,38000,12/13/2024,Hyundai
Nissan Altima,25000,6/9/2024,BMW
Audi A4,25000,2/29/2024,Audi
Honda Civic,50000,2/18/2024,Toyota
Honda Civic,50000,5/15/2024,Honda
